External ID,Addressee,Attention,Address 1,City,State,Zip,Country,Default Shipping,Default Billing
NORDRACK-297,Nordstrom - 297 - CS Rack Warehouse,,5050 Chavenelle Rd,Dubuque,IA,52002,US,T,T
NORDRACK-003,Nordstrom - 003 - Southcenter Square Rack,,"17200 Southcenter Pkwy, Ste 110",Tukwila,WA,98188,US,T,T
NORDRACK-011,Nordstrom - 011 - Anchorage Rack,,680 E Northern Lights Blvd,Anchorage,AK,99503,US,T,T
NORDRACK-014,Nordstrom - 014 - Factoria Square Rack,,3920 124th St SE,Bellevue,WA,98006,US,T,T
NORDRACK-015,Nordstrom - 015 - Golde Creek Rack,,19500 Alderwood Mall Pkwy,Lynnwood,WA,98036,US,T,T
NORDRACK-016,Nordstrom - 016 - Downtown Seattle Rack,,"400 Pine St, Ste 36",Seattle,WA,98101,US,T,T
NORDRACK-017,Nordstrom - 017 - The Outlet Collection Rack,,"1101 Outlet Collection Dr SW,  Ste 1320",Auburn,WA,98001,US,T,T
NORDRACK-022,Nordstrom - 022 - Clackamas Promenade Rack,,8930 SE Sunnyside Rd,Clackamas,OR,97015,US,T,T
NORDRACK-027,Nordstrom - 027 - Tanasbourne Town Center Rack,,18100 NW Evergreen Pkwy,Beaverton,OR,97006,US,T,T
NORDRACK-033,Nordstrom - 033 - Sugarhouse Rack,,2210 S 1300 E,Salt Lake City,UT,84106,US,T,T
NORDRACK-036,Nordstrom - 036 - Park Meadows Rack,,8676 S Park Meadows Center Dr,Lone Tree,CO,80124,US,T,T
NORDRACK-048,Nordstrom - 048 - Ward Village Shops Rack,,1170 Auahi St,Honolulu,HI,96814,US,T,T
NORDRACK-071,Nordstrom - 071 - Comnons at South Towne Rack,,10379 S State St,Sandy,UT,84070,US,T,T
NORDRACK-072,Nordstrom - 072 - Station Park Rack,,380 N Station Pkwy,Farmington,UT,84025,US,T,T
NORDRACK-074,Nordstrom - 074 - University Crossing Rack,,360 E University Pkwy,Orem,UT,84058,US,T,T
NORDRACK-109,Nordstrom - 109 - Spokane Valley Plaza Rack,,14018 E Indiana Ave,Spokane,WA,99216,US,T,T
NORDRACK-110,Nordstrom - 110 - BelMar Rack,,393 S Vance St,Lakewood,CO,80226,US,T,T
NORDRACK-111,Nordstrom - 111 - Northgate Rack,,"401 NE Northgate Way, Ste 304",Seattle,WA,98125,US,T,T
NORDRACK-112,Nordstrom - 112 - Oakway Center Rack,,5 Oakway Center,Eugene,OR,97401,US,T,T
NORDRACK-113,Nordstrom - 113 - Cascade Station Rack,,10159 NE Cascades Pkwy,Portland,OR,97220,US,T,T
NORDRACK-120,Nordstrom - 120 - Tacoma Mall Rack,,"4502 S Steele St, Ste 1670",Tacoma,WA,98409,US,T,T
NORDRACK-125,Nordstrom - 125 - Cascade Plaza Rack,,9175 SW Cascade Ave,Beaverton,OR,97008,US,T,T
NORDRACK-130,Nordstrom - 130 - Boise Town Rack,,534 N Milwaukee St,Boise,ID,83704,US,T,T
