External ID,A1 Attention,A1 Addressee,A1 Address 1,A1 City,A1 State,A1 Zip,A1 Country,A1 Default Shipping,A1 Default Billing,A2 Attention,A2 Addressee,A2 Address 1,A2 City,A2 State,A2 Zip,A2 Country,A2 Default Shipping,A2 Default Billing
NORDRACK-297,Store # 297,CS Rack Warehouse,5050 Chavenelle Rd,Dubuque,IA,52002,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-003,Store # 003,Southcenter Square Rack,"17200 Southcenter Pkwy, Ste 110",Tukwila,WA,98188,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-011,Store # 011,Anchorage Rack,680 E Northern Lights Blvd,Anchorage,AK,99503,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-014,Store # 014,Factoria Square Rack,3920 124th St SE,Bellevue,WA,98006,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-015,Store # 015,Golde Creek Rack,19500 Alderwood Mall Pkwy,Lynnwood,WA,98036,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-016,Store # 016,Downtown Seattle Rack,"400 Pine St, Ste 36",Seattle,WA,98101,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-017,Store # 017,The Outlet Collection Rack,"1101 Outlet Collection Dr SW,  Ste 1320",Auburn,WA,98001,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-022,Store # 022,Clackamas Promenade Rack,8930 SE Sunnyside Rd,Clackamas,OR,97015,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-027,Store # 027,Tanasbourne Town Center Rack,18100 NW Evergreen Pkwy,Beaverton,OR,97006,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-033,Store # 033,Sugarhouse Rack,2210 S 1300 E,Salt Lake City,UT,84106,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-036,Store # 036,Park Meadows Rack,8676 S Park Meadows Center Dr,Lone Tree,CO,80124,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-048,Store # 048,Ward Village Shops Rack,1170 Auahi St,Honolulu,HI,96814,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-071,Store # 071,Comnons at South Towne Rack,10379 S State St,Sandy,UT,84070,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-072,Store # 072,Station Park Rack,380 N Station Pkwy,Farmington,UT,84025,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-074,Store # 074,University Crossing Rack,360 E University Pkwy,Orem,UT,84058,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-109,Store # 109,Spokane Valley Plaza Rack,14018 E Indiana Ave,Spokane,WA,99216,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-110,Store # 110,BelMar Rack,393 S Vance St,Lakewood,CO,80226,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-111,Store # 111,Northgate Rack,"401 NE Northgate Way, Ste 304",Seattle,WA,98125,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-112,Store # 112,Oakway Center Rack,5 Oakway Center,Eugene,OR,97401,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-113,Store # 113,Cascade Station Rack,10159 NE Cascades Pkwy,Portland,OR,97220,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-120,Store # 120,Tacoma Mall Rack,"4502 S Steele St, Ste 1670",Tacoma,WA,98409,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-125,Store # 125,Cascade Plaza Rack,9175 SW Cascade Ave,Beaverton,OR,97008,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-130,Store # 130,Boise Town Rack,534 N Milwaukee St,Boise,ID,83704,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-135,Store # 135,Twenty Ninth Street Rack,"1601 29th St, Ste 1301",Boulder,CO,80301,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-136,Store # 136,Cherry Creek Rack,1505 S Colorado Blvd,Denver,CO,80222,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-137,Store # 137,Chapel Hills East Rack,7645 Academy Blvd N,Colorado Springs,CO,80920,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-138,Store # 138,Lincoln Square Rack,"500 Bellevue Way NE, Ste 145",Bellevue,WA,98004,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-139,Store # 139,Totem Lake Rack,12520 Totem Lake Blvd NE #120,Kirkland,WA,98034,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-140,Store # 140,Foothills Mall Rack,3050 S College Ave,Fort Collins,CO,80525,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-148,Store # 148,The Orchard Rack,14530 Delaware St,Westminster,CO,80023,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-150,Store # 150,Tempe Marketplace Rack,1900 E Rio Salado Pkwy,Tempe,AZ,85281,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-151,Store # 151,Wilmot Plaza Rack,6317 E Broadway Blvd,Tucson,AZ,85710,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-154,Store # 154,San Tan Village Rack,2090 E Williams Field Rd,Gilbert,AZ,85295,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-155,Store # 155,Winrock Rack,2100 Louisana Blvd NE,Albuquerque,NM,87110,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
