Certificate Number,Customer,Country,State,Blanket Exemption,Valid From,Subsidiary,Notes
Nordstrom Exempt - 297,297 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 297 - CS Rack Warehouse,US,IA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 003,003 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 003 - Southcenter Square Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 011,011 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 011 - Anchorage Rack,US,AK,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 014,014 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 014 - Factoria Square Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 015,015 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 015 - Golde Creek Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 016,016 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 016 - Downtown Seattle Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 017,017 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 017 - The Outlet Collection Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 022,022 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 022 - Clackamas Promenade Rack,US,OR,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 027,027 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 027 - Tanasbourne Town Center Rack,US,OR,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 033,033 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 033 - Sugarhouse Rack,US,UT,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 036,036 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 036 - Park Meadows Rack,US,CO,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 048,048 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 048 - Ward Village Shops Rack,US,HI,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 071,071 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 071 - Comnons at South Towne Rack,US,UT,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
